id,wh,fg_sku_code,mth_num,mto_demand_next_month,mts_demand_next_month,inventory_days_norm,store_cost,mts_demand_next_3_months,min_os,max_os,min_cs,max_cs,max_sup_lim,m1os_gfc,m1os_kfc,m1os_nfc,fg_wt_per_unit,cs_norm,norm_markup,m1os_x,next_3_months_demand_total,os_gfc,in_gfc,out_gfc,cs_gfc,max_supply_gfc,os_kfc,in_kfc,out_kfc,cs_kfc,max_supply_kfc,os_nfc,in_nfc,out_nfc,cs_nfc,max_supply_nfc,os_x,in_x,out_x,cs_x,max_supply_x,os_tot,in_tot,out_tot,cs_tot,max_supply_tot,cs_wt_gfc,cs_wt_kfc,cs_wt_nfc,final_norm,avg_stock,supply_gfc,supply_kfc,supply_nfc,supply_x,os_ge_min,os_le_max,cs_ge_min,cs_le_max,storage_cost,icc,row_cost,storage_cost_v2,workbook_id,created_at,updated_at,os_gfc_formula,in_gfc_formula,out_gfc_formula,cs_gfc_formula,os_kfc_formula,in_kfc_formula,out_kfc_formula,cs_kfc_formula,os_nfc_formula,in_nfc_formula,out_nfc_formula,cs_nfc_formula,os_x_formula,in_x_formula,out_x_formula,cs_x_formula,os_tot_formula,in_tot_formula,out_tot_formula,cs_tot_formula,storage_cost_formula,storage_cost_v2_formula,avg_stock_formula,cs_wt_gfc_formula,cs_wt_kfc_formula,cs_wt_nfc_formula
1,GFCM,SKU001,1,44.00,208.00,39,0.0100,418.00,0.00,10000000000.00,59.00,10000000000.00,1.00,109.00,0.00,0.00,0.7983,0.00,1.00,0.00,267.00,109.00,0.00,0.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,0.00,109.00,0.00,87.0147,0.0000,0.0000,0.00,109.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.0900,0.0000,0.0000,0.5450,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GFCM,SKU001,2,89.00,229.00,54,0.0100,617.00,0.00,10000000000.00,54.00,10000000000.00,1.00,109.00,0.00,0.00,1.8484,0.00,1.00,0.00,786.00,109.00,145.00,113.20,140.80,0.00,0.00,95.40,118.30,-22.90,0.00,0.00,77.60,86.50,-8.90,0.00,0.00,0.00,0.00,0.00,0.00,109.00,318.00,318.00,109.00,0.00,260.2547,-42.3284,-16.4508,0.00,109.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.0900,0.0000,0.0000,0.5450,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GFCM,SKU001,3,85.00,77.00,51,0.0100,384.00,0.00,10000000000.00,13.00,10000000000.00,1.00,31.00,0.00,0.00,1.5872,0.00,1.00,0.00,706.00,31.00,81.80,65.60,47.20,0.00,0.00,48.60,56.30,-7.70,0.00,0.00,31.60,40.10,-8.50,0.00,0.00,0.00,0.00,0.00,0.00,31.00,162.00,162.00,31.00,0.00,74.9158,-12.2214,-13.4912,0.00,31.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.3100,0.0000,0.0000,0.1550,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GFCM,SKU001,4,72.00,77.00,59,0.0100,335.00,0.00,10000000000.00,48.00,10000000000.00,1.00,41.00,0.00,0.00,1.9950,0.00,1.00,0.00,602.00,41.00,74.00,59.10,55.90,0.00,0.00,44.70,52.40,-7.70,0.00,0.00,30.30,37.50,-7.20,0.00,0.00,0.00,0.00,0.00,0.00,41.00,149.00,149.00,41.00,0.00,111.5205,-15.3615,-14.3640,0.00,41.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.4100,0.0000,0.0000,0.2050,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GFCM,SKU001,5,28.00,241.00,49,0.0100,369.00,0.00,10000000000.00,59.00,10000000000.00,1.00,43.00,0.00,0.00,1.8532,0.00,1.00,0.00,224.00,43.00,113.20,86.30,69.90,0.00,0.00,80.70,104.80,-24.10,0.00,0.00,75.10,77.90,-2.80,0.00,0.00,0.00,0.00,0.00,0.00,43.00,269.00,269.00,43.00,0.00,129.5387,-44.6621,-5.1890,0.00,43.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.4300,0.0000,0.0000,0.2150,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GFCM,SKU001,6,18.00,152.00,55,0.0100,464.00,0.00,10000000000.00,10.00,10000000000.00,1.00,97.00,0.00,0.00,2.3928,0.00,1.00,0.00,674.00,97.00,71.60,54.60,114.00,0.00,0.00,51.00,66.20,-15.20,0.00,0.00,47.40,49.20,-1.80,0.00,0.00,0.00,0.00,0.00,0.00,97.00,170.00,170.00,97.00,0.00,272.7792,-36.3706,-4.3070,0.00,97.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.9700,0.0000,0.0000,0.4850,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GFCM,SKU001,7,77.00,198.00,49,0.0100,555.00,0.00,10000000000.00,42.00,10000000000.00,1.00,108.00,0.00,0.00,1.6926,0.00,1.00,0.00,514.00,108.00,125.40,97.90,135.50,0.00,0.00,82.50,102.30,-19.80,0.00,0.00,67.10,74.80,-7.70,0.00,0.00,0.00,0.00,0.00,0.00,108.00,275.00,275.00,108.00,0.00,229.3473,-33.5135,-13.0330,0.00,108.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.0800,0.0000,0.0000,0.5400,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GFCM,SKU001,8,15.00,207.00,55,0.0100,408.00,0.00,10000000000.00,14.00,10000000000.00,1.00,63.00,0.00,0.00,2.4977,0.00,1.00,0.00,235.00,63.00,91.80,69.60,85.20,0.00,0.00,66.60,87.30,-20.70,0.00,0.00,63.60,65.10,-1.50,0.00,0.00,0.00,0.00,0.00,0.00,63.00,222.00,222.00,63.00,0.00,212.8040,-51.7024,-3.7466,0.00,63.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.6300,0.0000,0.0000,0.3150,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GFCM,SKU001,9,107.00,227.00,57,0.0100,449.00,0.00,10000000000.00,31.00,10000000000.00,1.00,64.00,0.00,0.00,0.8129,0.00,1.00,0.00,250.00,64.00,155.00,121.60,97.40,0.00,0.00,100.20,122.90,-22.70,0.00,0.00,78.80,89.50,-10.70,0.00,0.00,0.00,0.00,0.00,0.00,64.00,334.00,334.00,64.00,0.00,79.1765,-18.4528,-8.6980,0.00,64.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.6400,0.0000,0.0000,0.3200,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GFCM,SKU001,10,32.00,174.00,41,0.0100,613.00,0.00,10000000000.00,10.00,10000000000.00,1.00,47.00,0.00,0.00,0.5297,0.00,1.00,0.00,628.00,47.00,88.80,68.20,67.60,0.00,0.00,61.80,79.20,-17.40,0.00,0.00,55.40,58.60,-3.20,0.00,0.00,0.00,0.00,0.00,0.00,47.00,206.00,206.00,47.00,0.00,35.8077,-9.2168,-1.6950,0.00,47.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.4700,0.0000,0.0000,0.2350,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
